OBJECTID,GIS_ID,NAME,WEB_URL,EXIT_TO_ST,FEATURECOD,DESCRIPTIO,CAPTUREYEA,LINE,ADDRESS_ID,ADDRESS,Latitude,Longitude,VISITORS
1,mstn_055,FRANCONIA-SPRINGF'LD,http://www.wmata.com/rail/station_detail.cfm?station_id=95,SOUTH SIDE OF FRANCONIA-SPRINGFIELD PKWY,,Metro Station Entrance,2016-01-08T00:00:00.000Z,blue,,"6880 FRONTIER DRIVE, SPRINGFIELD, VA  22150",38.788017,-77.1716,16433.0
2,mstn_084,VIRGINIA SQUARE | GMU ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=98,SOUTH SIDE OF N FAIRFAX DR BETWEEN N NELSON ST AND N MONROE ST,,Metro Station Entrance,2016-01-08T00:00:00.000Z,orange,,"3600 FAIRFAX DRIVE, ARLINGTON, VA 22201",38.8829435,-77.1033092,8709.0
2,mstn_084,VIRGINIA SQUARE | GMU ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=98,SOUTH SIDE OF N FAIRFAX DR BETWEEN N NELSON ST AND N MONROE ST,,Metro Station Entrance,2016-01-08T00:00:00.000Z,silver,,"3600 FAIRFAX DRIVE, ARLINGTON, VA 22201",38.8829435,-77.1033092,19111.0
3,mstn_060,GROSVENOR-STRATHMORE,http://www.wmata.com/rail/station_detail.cfm?station_id=14,SE OF TUCKERMAN LN AND ROCKVILLE PIKE,,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,,"10300 ROCKVILLE PIKE, ROCKVILLE, MD 20852",39.02590105,-77.1042571234207,45861.0
5,mstn_010,DUPONT CIRCLE,http://www.wmata.com/rail/station_detail.cfm?station_id=6,SE CORNER OF 19TH STREET NW AND DUPONT CIRCLE NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294836,"1351 19TH ST NW, WASHINGTON, DC 20036",38.90849363502093,-77.04332808684022,7913.0
6,mstn_046,BALLSTON ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=99,SW CORNER OF N FAIRFAX DR AND N STUART ST,,Metro Station Entrance,2016-01-08T00:00:00.000Z,orange,,"4230 FAIRFAX DRIVE, ARLINGTON, VA 22201",38.8820057,-77.1115141,48511.0
6,mstn_046,BALLSTON ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=99,SW CORNER OF N FAIRFAX DR AND N STUART ST,,Metro Station Entrance,2016-01-08T00:00:00.000Z,silver,,"4230 FAIRFAX DRIVE, ARLINGTON, VA 22201",38.8820057,-77.1115141,21542.0
7,mstn_047,CLARENDON,http://www.wmata.com/rail/station_detail.cfm?station_id=97,WEST SIDE OF N HIGHLAND ST BETWEEN WILSON BLVD AND CLARENDON BLVD,,Metro Station Entrance,2016-01-08T00:00:00.000Z,orange,,"3100 WILSON BOULEVARD, ARLINGTON, VA 22201",38.887075,-77.0952496,6253.0
7,mstn_047,CLARENDON,http://www.wmata.com/rail/station_detail.cfm?station_id=97,WEST SIDE OF N HIGHLAND ST BETWEEN WILSON BLVD AND CLARENDON BLVD,,Metro Station Entrance,2016-01-08T00:00:00.000Z,silver,,"3100 WILSON BOULEVARD, ARLINGTON, VA 22201",38.887075,-77.0952496,17204.0
9,mstn_002,BENNING ROAD ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=90,NE CORNER OF BENNING ROAD NE AND CENTRAL AVENUE NE,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,blue,294851,"4500 BENNING ROAD NE, WASHINGTON, DC 20019",38.8904471,-76.9375326,12737.0
9,mstn_002,BENNING ROAD ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=90,NE CORNER OF BENNING ROAD NE AND CENTRAL AVENUE NE,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,silver,294851,"4500 BENNING ROAD NE, WASHINGTON, DC 20019",38.8904471,-76.9375326,1476.0
10,mstn_049,COURT HOUSE ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=96,SE CORNER OF CLARENDON BLVD AND 15TH ST N,,Metro Station Entrance,2016-01-08T00:00:00.000Z,orange,,"2100 WILSON BOULEVARD, ARLINGTON, VA 22201",38.8907825,-77.0856426,1782.0
10,mstn_049,COURT HOUSE ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=96,SE CORNER OF CLARENDON BLVD AND 15TH ST N,,Metro Station Entrance,2016-01-08T00:00:00.000Z,silver,,"2100 WILSON BOULEVARD, ARLINGTON, VA 22201",38.8907825,-77.0856426,5699.0
14,mstn_051,DUNN LORING,http://www.wmata.com/rail/station_detail.cfm?station_id=102,BY GALLOWS ROAD AND I 66 HWY,,Metro Station Entrance,2016-01-08T00:00:00.000Z,orange,,"2700 GALLOWS ROAD, VIENNA, VA 22180",38.8833529,-77.22812,10699.0
15,mstn_083,VIENNA | FAIRFAX-GMU,http://www.wmata.com/rail/station_detail.cfm?station_id=103,WEST SIDE OF VADEN DR BETWEEN I - 66 W AND I - 66 E,,Metro Station Entrance,2016-01-08T00:00:00.000Z,orange,,"9550 SAINTSBURY DRIVE, FAIRFAX, VA 22031",38.8776013,-77.2722884,2406.0
